options__key,options__name,options__description,price,engineSize,averageRating,reviewsCount,power,MPGCombined
200727569,Acura ILX,Technology Plus Package 4dr Sedan (2.4L 4cyl 8AM),32900.00,2.40,201.00,30.00,4.05,15.00
200726801,Acura MDX,4dr SUV (3.5L 6cyl 9A),43015.00,3.50,290.00,23.00,3.79,37.00
200732587,Acura RDX,AcuraWatch Plus Package 4dr SUV AWD (3.5L 6cyl 6A),38170.00,3.50,279.00,23.00,4.31,29.00
200729234,Acura RLX,Advance Package 4dr Sedan (3.5L 6cyl 6A),60450.00,3.50,310.00,25.00,5.00,1.00
401583116,Acura TLX,Technology Package 4dr Sedan (2.4L 4cyl 8AM),35750.00,2.40,206.00,29.00,4.43,14.00
401630280,Alfa Romeo 4C,Spider 2dr Convertible (1.7L 4cyl Turbo 6AM),65900.00,1.70,237.00,29.00,0.00,0.00
401632434,Aston Martin DB9 GT,Bond Edition 2dr Coupe (5.9L 12cyl 6A),235307.00,5.90,540.00,16.00,0.00,0.00
401632440,Aston Martin Rapide S,4dr Sedan (5.9L 12cyl 8A),206000.00,5.90,552.00,18.00,0.00,0.00
401633360,Aston Martin V12 Vantage S,Roadster 2dr Convertible (5.9L 12cyl 7AM),198195.00,5.90,565.00,15.00,0.00,0.00
401627343,Aston Martin V8 Vantage,GT Roadster 2dr Convertible (4.7L 8cyl 6M),117800.00,4.70,430.00,16.00,0.00,0.00
401631549,Aston Martin Vanquish,Carbon Volante 2dr Convertible (5.9L 12cyl 8A),320695.00,5.90,568.00,17.00,0.00,0.00
200736144,Audi A3,1.8 TFSI Premium 2dr Convertible (1.8L 4cyl Turbo 6AM),36600.00,1.80,170.00,29.00,5.00,2.00
200748641,Audi A3 Sportback e-tron,1.4 TFSI PHEV Premium 4dr Hatchback (1.4L 4cyl gas/electric hybrid Turbo 6AM),37900.00,1.40,204.00,0.00,3.33,3.00
200736356,Audi A4,2.0T Premium quattro 4dr Sedan AWD (2.0L 4cyl Turbo 8A),38000.00,2.00,220.00,26.00,3.33,3.00
200736693,Audi A5,2.0T Premium Plus quattro 2dr Coupe AWD (2.0L 4cyl Turbo 6M),42800.00,2.00,220.00,27.00,5.00,1.00
200725318,Audi A6,2.0T Premium Plus 4dr Sedan (2.0L 4cyl Turbo 7AM),49900.00,2.00,252.00,29.00,5.00,7.00
200726011,Audi A7,TDI Premium Plus quattro 4dr Sedan AWD (3.0L 6cyl Turbodiesel 8A),70400.00,3.00,240.00,31.00,5.00,3.00
200737511,Audi A8,L TDI quattro 4dr Sedan AWD (3.0L 6cyl Turbodiesel 8A),85200.00,3.00,240.00,29.00,5.00,1.00
200736343,Audi Q3,Premium Plus quattro 4dr SUV AWD (2.0L 4cyl Turbo 6A),35800.00,2.00,200.00,24.00,4.40,5.00
200737127,Audi Q5,2.0T Premium Plus quattro 4dr SUV AWD (2.0L 4cyl Turbo 8A),42750.00,2.00,220.00,24.00,5.00,10.00
200725943,Audi RS 7,Prestige quattro 4dr Sedan AWD (4.0L 8cyl Turbo 8A),108900.00,4.00,560.00,20.00,0.00,0.00
200736281,Audi S3,2.0T Premium Plus quattro 4dr Sedan AWD (2.0L 4cyl Turbo 6AM),42500.00,2.00,292.00,27.00,5.00,1.00
200736445,Audi S4,Prestige quattro 4dr Sedan AWD (3.0L 6cyl S/C 7AM),56100.00,3.00,333.00,23.00,0.00,0.00
200736810,Audi S5,Premium Plus quattro 2dr Coupe AWD (3.0L 6cyl S/C 6M),53100.00,3.00,333.00,21.00,5.00,1.00
200725764,Audi S6,Premium Plus quattro 4dr Sedan AWD (4.0L 8cyl Turbo 7AM),70900.00,4.00,450.00,22.00,5.00,2.00
200725873,Audi S7,quattro 4dr Sedan AWD (4.0L 8cyl Turbo 7AM),82900.00,4.00,450.00,22.00,5.00,2.00
200737584,Audi S8,quattro 4dr Sedan AWD (4.0L 8cyl Turbo 8A),114900.00,4.00,520.00,20.00,0.00,0.00
200737093,Audi SQ5,3.0T Prestige quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),60800.00,3.00,354.00,20.00,5.00,1.00
200737738,Audi TT,2.0T quattro 2dr Convertible AWD (2.0L 4cyl Turbo 6AM),46400.00,2.00,220.00,26.00,4.00,1.00
200737740,Audi TTS,quattro 2dr Coupe AWD (2.0L 4cyl Turbo 6AM),51900.00,2.00,292.00,25.00,4.00,1.00
200736556,Audi allroad,Premium Plus quattro 4dr Wagon AWD (2.0L 4cyl Turbo 8A),44800.00,2.00,220.00,24.00,0.00,0.00
200744432,BMW 2 Series,M235i xDrive 2dr Coupe AWD (3.0L 6cyl Turbo 8A),46150.00,3.00,320.00,25.00,4.80,5.00
200741587,BMW 3 Series,340i 4dr Sedan (3.0L 6cyl Turbo 8A),45800.00,3.00,320.00,27.00,5.00,5.00
200747549,BMW 3 Series Gran Turismo,335i xDrive 4dr Hatchback AWD (3.0L 6cyl Turbo 8A),49200.00,3.00,300.00,25.00,4.00,2.00
200743649,BMW 4 Series,428i xDrive SULEV 2dr Convertible AWD (2.0L 4cyl Turbo 8A),52000.00,2.00,240.00,26.00,5.00,3.00
200737899,BMW 4 Series Gran Coupe,428i xDrive SULEV 4dr Sedan AWD (2.0L 4cyl Turbo 8A),43650.00,2.00,240.00,27.00,0.00,0.00
200745716,BMW 5 Series,528i xDrive 4dr Sedan AWD (2.0L 4cyl Turbo 8A),52500.00,2.00,240.00,27.00,4.50,6.00
200744771,BMW 5 Series Gran Turismo,550i xDrive 4dr Hatchback AWD (4.4L 8cyl Turbo 8A),72500.00,4.40,445.00,20.00,0.00,0.00
200732869,BMW 6 Series,640i 2dr Convertible (3.0L 6cyl Turbo 8A),84800.00,3.00,315.00,25.00,0.00,0.00
200734522,BMW 6 Series Gran Coupe,640i xDrive 4dr Sedan AWD (3.0L 6cyl Turbo 8A),82500.00,3.00,315.00,24.00,0.00,0.00
401580728,BMW 7 Series,750i 4dr Sedan (4.4L 8cyl Turbo 8A),94400.00,4.40,445.00,21.00,4.00,2.00
200735195,BMW ALPINA B6 Gran Coupe,xDrive 4dr Sedan AWD (4.4L 8cyl Turbo 8A),122200.00,4.40,600.00,19.00,0.00,0.00
401588569,BMW ActiveHybrid 5,4dr Sedan (3.0L 6cyl Turbo gas/electric hybrid 8A),62100.00,3.00,335.00,26.00,0.00,0.00
401632231,BMW M2,2dr Coupe (3.0L 6cyl Turbo 6M),51700.00,3.00,365.00,22.00,0.00,0.00
401566521,BMW M3,4dr Sedan (3.0L 6cyl Turbo 6M),63500.00,3.00,425.00,21.00,5.00,1.00
200748862,BMW M4,2dr Coupe (3.0L 6cyl Turbo 6M),65700.00,3.00,425.00,21.00,4.00,2.00
200749891,BMW M5,4dr Sedan (4.4L 8cyl Turbo 7AM),94100.00,4.40,560.00,17.00,0.00,0.00
200731125,BMW M6,2dr Coupe (4.4L 8cyl Turbo 7AM),113400.00,4.40,552.00,17.00,5.00,1.00
200731328,BMW M6 Gran Coupe,4dr Sedan (4.4L 8cyl Turbo 7AM),117200.00,4.40,552.00,17.00,0.00,0.00
200737086,BMW X1,xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A),34800.00,2.00,228.00,27.00,4.50,8.00
200734019,BMW X3,xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A),40950.00,2.00,240.00,24.00,4.38,8.00
401627496,BMW X4,M40i 4dr SUV AWD (3.0L 6cyl Turbo 8A),57800.00,3.00,360.00,21.00,0.00,0.00
200746491,BMW X5,xDrive50i 4dr SUV AWD (4.4L 8cyl Turbo 8A),71500.00,4.40,445.00,18.00,4.88,8.00
401589057,BMW X5 M,4dr SUV AWD (4.4L 8cyl Turbo 8A),98800.00,4.40,567.00,16.00,0.00,0.00
401583390,BMW X5 eDrive,xDrive40e 4dr SUV AWD (2.0L 4cyl Turbo gas/electric hybrid 8A),62100.00,2.00,240.00,0.00,0.00,0.00
200766538,BMW X6,sDrive35i 4dr SUV (3.0L 6cyl Turbo 8A),60600.00,3.00,300.00,21.00,5.00,2.00
200777976,BMW X6 M,4dr SUV AWD (4.4L 8cyl Turbo 8A),102200.00,4.40,567.00,16.00,5.00,1.00
200733836,BMW Z4,sDrive35i 2dr Convertible (3.0L 6cyl Turbo 7AM),57500.00,3.00,300.00,20.00,0.00,0.00
401612496,BMW i3,4dr Hatchback w/Range Extender (electric DD),46250.00,3.00,170.00,0.00,0.00,0.00
401613127,BMW i8,2dr Coupe AWD (1.5L 3cyl Turbo gas/electric hybrid 6A),140700.00,1.50,357.00,0.00,0.00,0.00
401613794,Buick Cascada,Premium 2dr Convertible (1.6L 4cyl Turbo 6A),36065.00,1.60,200.00,23.00,4.25,4.00
200740596,Buick Enclave,Convenience Group 4dr SUV (3.6L 6cyl 6A),39065.00,3.60,288.00,20.00,4.00,2.00
401583528,Buick Encore,4dr SUV (1.4L 4cyl Turbo 6A),24065.00,1.40,138.00,29.00,3.00,4.00
200746719,Buick LaCrosse,4dr Sedan (3.6L 6cyl 6A),33810.00,3.60,304.00,23.00,0.00,0.00
200751764,Buick Regal,1SV 4dr Sedan (2.4L 4cyl 6A),27065.00,2.40,182.00,24.00,0.00,0.00
200747589,Buick Verano,Premium Turbo Group 4dr Sedan (2.0L 4cyl Turbo 6A),28670.00,2.00,250.00,25.00,0.00,0.00
401580756,Cadillac ATS,Premium 4dr Sedan AWD (2.0L 4cyl Turbo 8A),47210.00,2.00,272.00,26.00,5.00,2.00
401581032,Cadillac ATS Coupe,Premium 2dr Coupe (3.6L 6cyl 8A),50835.00,3.60,335.00,25.00,4.00,1.00
200468528,Cadillac ATS-V,4dr Sedan (3.6L 6cyl Turbo 6M),60465.00,3.60,464.00,20.00,5.00,2.00
401614376,Cadillac CT6,4dr Sedan AWD (3.6L 6cyl 8A),55495.00,3.60,335.00,22.00,3.00,1.00
401578250,Cadillac CTS,Standard 4dr Sedan AWD (2.0L 4cyl Turbo 8A),47560.00,2.00,268.00,25.00,4.00,3.00
